donor_country,recipient_country,2008,2009,2010,2011,2012
CAN,BHS,..,..,..,..,..
CAN,BRB,..,..,0.017472,..,..
CAN,BLZ,..,..,..,..,0.030324
CAN,BMU,..,..,..,..,..
CAN,CYM,..,..,..,..,..
CAN,CRI,..,0.00482,0.058629,..,..
CAN,CUB,..,0.00241,..,..,..
CAN,DMA,..,0.00241,..,..,..
CAN,DOM,..,..,..,..,..
CAN,SLV,..,0.044146,0.165269,..,0.011509
CAN,GRD,..,0.00241,..,0.00734,..
CAN,GTM,..,0.072849,0.261755,0.000101,..
CAN,HTI,0.914164,2.684189,0.08542,2.659499,0.120096
CAN,HND,..,0.057186,0.233809,..,0.044275
CAN,JAM,..,0.053129,..,0.021787,..
CAN,MEX,..,..,0.077121,..,..
CAN,MSR,..,..,..,..,..
CAN,ANT,..,..,..,..,..
CAN,NIC,..,0.010815,0.253407,..,..
CAN,PAN,..,..,0.088138,..,..
CAN,KNA,..,..,..,..,..
CAN,LCA,..,0.00482,..,..,..
CAN,VCT,..,0.00482,..,..,..
CAN,TTO,..,..,..,..,..
CAN,TCA,..,..,..,..,..
CAN,VGB,..,..,..,..,..
CAN,ARG,..,..,..,..,..
CAN,BOL,..,0.111735,0.032518,0.000101,..
CAN,BRA,..,..,0.052417,..,..
CAN,CHL,..,..,..,..,0.606245
CAN,COL,..,0.001315,0.873617,..,..
CAN,ECU,..,..,0.036818,..,..
CAN,GUY,..,0.045328,..,0.004529,..
CAN,PRY,..,..,..,..,..
CAN,PER,..,0.071648,3.778247,0.000061,0.635628
CAN,SUR,..,..,..,..,..
CAN,URY,..,..,..,..,..
CAN,VEN,..,..,..,..,..
CAN,BRN,..,..,..,..,..
CAN,KHM,..,0.002209,..,..,0.020016
CAN,CHN,..,..,..,..,0.010138
CAN,IDN,..,0.156082,0.014851,0.379143,0.004534
CAN,KOR,..,..,..,..,..
CAN,PRK,..,..,..,..,..
CAN,LAO,..,0.00092,..,..,..
CAN,MYS,..,..,..,..,..
CAN,MNG,..,0.016871,..,0.015863,..
CAN,PHL,..,0.004145,0.015376,0.379143,0.004534
CAN,SGP,..,..,..,..,..
CAN,THA,..,..,..,0.379143,0.004534
CAN,TLS,..,..,..,..,..
CAN,VNM,..,0.039246,0.034945,0.385685,0.016043
CAN,AFG,0.092997,0.113059,0.315473,8.639167,1.000801
CAN,ARM,..,..,..,..,..
CAN,AZE,..,..,..,..,..
CAN,BGD,..,..,..,..,..
CAN,BTN,..,..,..,..,..
CAN,GEO,..,..,..,..,..
CAN,IND,..,0.021919,..,0.013598,0.030024
CAN,KAZ,..,..,..,..,..
CAN,KGZ,..,..,..,0.159236,..
CAN,MDV,..,..,..,..,..
CAN,MMR,..,..,..,..,..
CAN,NPL,..,0.043839,..,0.000101,..
CAN,PAK,..,0.038194,6.50165,0.257811,..
CAN,LKA,..,..,..,..,..
CAN,TJK,..,..,..,0.22748,..
CAN,TKM,..,..,..,..,..
CAN,UZB,..,..,..,..,..
CAN,BHR,..,..,..,..,..
CAN,IRN,..,..,..,..,..
CAN,IRQ,..,..,..,..,..
CAN,ISR,..,..,..,..,..
CAN,JOR,2.092439,0.000543,18.536672,..,0.2502
CAN,KWT,..,..,..,..,..
CAN,LBN,..,..,..,..,..
CAN,OMN,..,..,..,..,..
CAN,QAT,..,..,..,..,..
CAN,SAU,..,..,..,..,..
CAN,SYR,..,..,0.014851,..,..
CAN,ARE,..,..,..,..,..
CAN,PSZ,..,0.007783,..,0.030331,..
CAN,YEM,..,..,..,..,..
CAN,COK,..,..,..,..,..
CAN,FJI,..,..,..,..,..
CAN,PYF,..,..,..,..,..
CAN,KIR,..,..,..,..,..
CAN,MHL,..,..,..,..,..
CAN,FSM,..,..,..,..,..
CAN,NRU,..,..,..,..,..
CAN,NCL,..,..,..,..,..
CAN,NIU,..,..,..,..,..
CAN,PLW,..,..,..,..,..
CAN,PNG,..,..,..,..,..
CAN,WSM,..,..,..,..,..
CAN,SLB,..,..,..,..,..
CAN,TKL,..,..,..,..,..
CAN,TON,..,..,..,..,..
CAN,TUV,..,..,..,..,..
CAN,VUT,..,..,..,..,..
CZE,ALB,..,..,..,0.011317,..
CZE,BLR,..,..,..,..,..
